Abecean Longfin ,Weakness to Frost ,Fortify Sneak ,Weakness to Poison ,Fortify Restoration 
Bear Claws ,Restore Stamina ,Fortify Health ,Fortify One-handed ,Damage Magicka Regen 
Bee ,Restore Stamina ,Ravage Stamina ,Regenerate Stamina ,Weakness to Shock 
Beehive Husk ,Resist Poison ,Fortify Light Armor ,Fortify Sneak ,Fortify Destruction 
Berit's Ashes ,Damage Stamina ,Resist Fire ,Fortify Conjuration ,Ravage Stamina 
Bleeding Crown ,Weakness to Fire ,Fortify Block ,Weakness to Poison ,Resist Magic 
Blisterwort ,Damage Stamina ,Frenzy ,Restore Health ,Fortify Smithing 
Blue Butterfly Wing ,Damage Stamina ,Fortify Conjuration ,Damage Magicka Regen ,Fortify Enchanting 
Blue Dartwing ,Resist Shock ,Fortify Pickpocket ,Restore Health ,Fear 
Blue Mountain Flower ,Restore Health ,Fortify Conjuration ,Fortify Health ,Damage Magicka Regen 
Bone Meal ,Damage Stamina ,Resist Fire ,Fortify Conjuration ,Ravage Stamina 
Briar Heart ,Restore Magicka ,Fortify Block ,Paralysis ,Fortify Magicka 
Butterfly Wing ,Restore Health ,Fortify Barter ,Lingering Damage Stamina ,Damage Magicka 
Canis Root ,Damage Stamina ,Fortify One-handed ,Fortify Marksman ,Paralysis 
Charred Skeever Hide ,Restore Stamina ,Cure Disease ,Resist Poison ,Restore Health 
Chaurus Eggs ,Weakness to Poison ,Fortify Stamina ,Damage Magicka ,Invisibility 
Chicken's Egg ,Resist Magic ,Damage Magicka Regen ,Waterbreathing ,Lingering Damage Stamina 
Creep Cluster ,Restore Magicka ,Damage Stamina Regen ,Fortify Carry Weight ,Weakness to Magic 
Crimson Nirnroot ,Damage Health ,Damage Stamina ,Invisibility ,Resist Magic 
Cyrodilic Spadetail ,Damage Stamina ,Fortify Restoration ,Fear ,Ravage Health 
Daedra Heart ,Restore Health ,Damage Stamina Regen ,Damage Magicka ,Fear 
Deathbell ,Damage Health ,Ravage Stamina ,Slow ,Weakness to Poison 
Dragon's Tongue ,Resist Fire ,Fortify Barter ,Fortify Illusion ,Fortify Two-handed 
Dwarven Oil ,Weakness to Magic ,Fortify Illusion ,Regenerate Magicka ,Restore Magicka 
Ectoplasm ,Restore Magicka ,Fortify Destruction ,Fortify Magicka ,Damage Health 
Elves Ear ,Restore Magicka ,Fortify Marksman ,Weakness to Frost ,Resist Fire 
Eye of Sabre Cat ,Restore Stamina ,Ravage Health ,Damage Magicka ,Restore Health 
Falmer Ear ,Damage Health ,Frenzy ,Resist Poison ,Fortify Lockpicking 
Fire Salts ,Weakness to Frost ,Resist Fire ,Restore Magicka ,Regenerate Magicka 
Fly Amanita ,Resist Fire ,Fortify Two-handed ,Frenzy ,Regenerate Stamina 
Frost Mirriam ,Resist Frost ,Fortify Sneak ,Ravage Magicka ,Damage Stamina Regen 
Frost Salts ,Weakness to Fire ,Resist Frost ,Restore Magicka ,Fortify Conjuration 
Garlic ,Resist Poison ,Fortify Stamina ,Regenerate Magicka ,Regenerate Health 
Giant Lichen ,Weakness to Shock ,Ravage Health ,Weakness to Poison ,Restore Magicka 
Giant's Toe ,Damage Stamina ,Fortify Health ,Fortify Carry Weight ,Damage Stamina Regen 
Glow Dust ,Damage Magicka ,Damage Magicka Regen ,Fortify Destruction ,Resist Shock 
Glowing Mushroom ,Resist Shock ,Fortify Destruction ,Fortify Smithing ,Fortify Health 
Grass Pod ,Resist Poison ,Ravage Magicka ,Fortify Alteration ,Restore Magicka 
Hagraven Claw ,Resist Magic ,Lingering Damage Magicka ,Fortify Enchanting ,Fortify Barter 
Hagraven Feathers ,Damage Magicka ,Fortify Conjuration ,Frenzy ,Weakness to Shock 
Hanging Moss ,Damage Magicka ,Fortify Health ,Damage Magicka Regen ,Fortify One-handed 
Hawk Beak ,Restore Stamina ,Resist Frost ,Fortify Carry Weight ,Resist Shock 
Hawk Feathers ,Cure Disease ,Fortify Light Armor ,Fortify One-handed ,Fortify Sneak 
Histcarp ,Restore Stamina ,Fortify Magicka ,Damage Stamina Regen ,Waterbreathing 
Honeycomb ,Restore Stamina ,Fortify Block ,Fortify Light Armor ,Ravage Stamina 
Human Flesh ,Damage Health ,Paralysis ,Restore Magicka ,Fortify Sneak 
Human Heart ,Damage Health ,Damage Magicka ,Damage Magicka Regen ,Frenzy 
Ice Wraith Teeth ,Weakness to Frost ,Fortify Heavy Armor ,Invisibility ,Weakness to Fire 
Imp Stool ,Damage Health ,Lingering Damage Health ,Paralysis ,Restore Health 
Jarrin Root ,Damage Health ,Damage Magicka ,Damage Stamina ,Damage Magicka Regen 
Jazbay Grapes ,Weakness to Magic ,Fortify Magicka ,Regenerate Magicka ,Ravage Health 
Juniper Berries ,Weakness to Fire ,Fortify Marksman ,Regenerate Health ,Damage Stamina Regen 
Large Antlers ,Restore Stamina ,Fortify Stamina ,Slow ,Damage Stamina Regen 
Lavender ,Resist Magic ,Fortify Stamina ,Ravage Magicka ,Fortify Conjuration 
Luna Moth Wing ,Damage Magicka ,Fortify Light Armor ,Regenerate Health ,Invisibility 
Moon Sugar ,Weakness to Fire ,Resist Frost ,Restore Magicka ,Regenerate Magicka 
Mora Tapinella ,Restore Magicka ,Lingering Damage Health ,Regenerate Stamina ,Fortify Illusion 
Mudcrab Chitin ,Restore Stamina ,Cure Disease ,Resist Poison ,Resist Fire 
Namira's Rot ,Damage Magicka ,Fortify Lockpicking ,Fear ,Regenerate Health 
Nightshade ,Damage Health ,Damage Magicka Regen ,Lingering Damage Stamina ,Fortify Destruction 
Nirnroot ,Damage Health ,Damage Stamina ,Invisibility ,Resist Magic 
Nordic Barnacle ,Damage Magicka ,Waterbreathing ,Regenerate Health ,Fortify Pickpocket 
Orange Dartwing ,Restore Stamina ,Ravage Magicka ,Fortify Pickpocket ,Lingering Damage Health 
Pearl ,Restore Stamina ,Fortify Block ,Restore Magicka ,Resist Shock 
Pine Thrush Egg ,Restore Stamina ,Fortify Lockpicking ,Weakness to Poison ,Resist Shock 
Powdered Mammoth Tusk ,Restore Stamina ,Fortify Sneak ,Weakness to Fire ,Fear 
Purple Mountain Flower ,Restore Stamina ,Fortify Sneak ,Lingering Damage Magicka ,Resist Frost 
Red Mountain Flower ,Restore Magicka ,Ravage Magicka ,Fortify Magicka ,Damage Health 
River Betty ,Damage Health ,Fortify Alteration ,Slow ,Fortify Carry Weight 
Rock Warbler Egg ,Restore Health ,Fortify One-handed ,Damage Stamina ,Weakness to Magic 
Sabre Cat Tooth ,Restore Stamina ,Fortify Heavy Armor ,Fortify Smithing ,Weakness to Poison 
Salt Pile ,Weakness to Magic ,Fortify Restoration ,Slow ,Regenerate Magicka 
Salt Pile ,Weakness to Magic ,Fortify Restoration ,Slow ,Regenerate Magicka 
Scaly Pholiota ,Weakness to Magic ,Fortify Illusion ,Regenerate Stamina ,Fortify Carry Weight 
Silverside Perch ,Restore Stamina ,Damage Stamina Regen ,Ravage Health ,Resist Frost 
Skeever Tail ,Damage Stamina Regen ,Ravage Health ,Damage Health ,Fortify Light Armor 
Slaughterfish Egg ,Resist Poison ,Fortify Pickpocket ,Lingering Damage Health ,Fortify Stamina 
Slaughterfish Scales ,Resist Frost ,Lingering Damage Health ,Fortify Heavy Armor ,Fortify Block 
Small Antlers ,Weakness to Poison ,Fortify Restoration ,Lingering Damage Stamina ,Damage Health 
Small Pearl ,Restore Stamina ,Fortify One-handed ,Fortify Restoration ,Resist Frost 
Snowberries ,Resist Fire ,Fortify Enchanting ,Resist Frost ,Resist Shock 
Spider Egg ,Damage Stamina ,Damage Magicka Regen ,Fortify Lockpicking ,Fortify Marksman 
Spriggan Sap ,Damage Magicka Regen ,Fortify Enchanting ,Fortify Smithing ,Fortify Alteration 
Swamp Fungal Pod ,Resist Shock ,Lingering Damage Magicka ,Paralysis ,Restore Health 
Taproot ,Weakness to Magic ,Fortify Illusion ,Regenerate Magicka ,Restore Magicka 
Thistle Branch ,Resist Frost ,Ravage Stamina ,Resist Poison ,Fortify Heavy Armor 
Torchbug Thorax ,Restore Stamina ,Lingering Damage Magicka ,Weakness to Magic ,Fortify Stamina 
Troll Fat ,Resist Poison ,Fortify Two-handed ,Frenzy ,Damage Health 
Tundra Cotton ,Resist Magic ,Fortify Magicka ,Fortify Block ,Fortify Barter 
Vampire Dust ,Invisibility ,Restore Magicka ,Regenerate Health ,Cure Disease 
Void Salts ,Weakness to Shock ,Resist Magic ,Damage Health ,Fortify Magicka 
Wheat ,Restore Health ,Fortify Health ,Damage Stamina Regen ,Lingering Damage Magicka 
White Cap ,Weakness to Frost ,Fortify Heavy Armor ,Restore Magicka ,Ravage Magicka 
Wisp Wrappings ,Restore Stamina ,Fortify Destruction ,Fortify Carry Weight ,Resist Magic 
